Name                          USS      PSS      RSS      VSS 
rund-6acfe6f9               22504    25969    58184  2067464 
rund-cb369f3a               23092    26645    58756  2067464 
rund-d88965f1               24624    28125    60312  1932264 
rund-ab9a04c7               24904    28446    60960  2067464 
rund-65e711bf               25116    28603    60884  1932264 
rund-3836d2bc               26636    30201    62496  2067464 
rund-6c76ab07               26996    30483    62804  2067496 
rund-ba3f488e               27076    30660    63212  1932264 
rund-4799cc36               28796    32357    64932  2067464 
rund-d87b49ca               29224    32761    65208  1932296 
