Name                          USS      PSS      RSS      VSS 
rund-c8936399               21396    21430    57196  5999656 
rund-ed16c3fa               21480    21514    57548  5999628 
rund-2e584dfd               21484    21518    57648  5999624 
rund-dee7f0d4               21496    21530    57464  5999628 
rund-19faf17a               21500    21534    57620  5999628 
rund-9992768e               21500    21534    57224  5999628 
rund-b0e1dd5f               21504    21538    57456  6069268 
rund-585e8d96               21508    21542    57448  6071320 
rund-2d8d19bb               21512    21546    57484  5864428 
rund-5cb3816a               21512    21546    57464  5999624 
rund-63808892               21516    21550    57576  6071320 
rund-cd4c5a16               21516    21550    57408  5999628 
rund-8c8a4422               21520    21554    57488  5864432 
rund-e1241960               21524    21559    57752  6202392 
rund-7ccbc425               21528    21562    57620  6136856 
rund-a97bf810               21536    21570    57512  5999628 
rund-bbeab9c7               21536    21570    57332  5999656 
rund-30491138               21540    21574    57676  5864428 
rund-3a6817cb               21540    21574    57668  5999628 
rund-6121bb83               21544    21578    57584  5999628 
rund-76d5a3f4               21544    21578    57460  5999656 
rund-adf366e1               21544    21578    57660  5999628 
rund-e7bf1447               21544    21578    57372  5864428 
rund-40407339               21548    21582    57512  5864456 
rund-5eda1d4d               21548    21582    57484  6136860 
rund-8456f19f               21548    21582    57456  6134804 
rund-aaef52cb               21548    21582    57488  5999628 
rund-50806c57               21552    21586    57668  5864432 
rund-967d4eb0               21552    21586    57516  5864428 
rund-c0ffdd03               21552    21586    57364  5864424 
rund-3f563ae3               21556    21590    57732  5999656 
rund-66947b12               21556    21590    57504  5999624 
rund-a6c08041               21556    21590    57576  6071316 
rund-dd13102c               21556    21590    57472  6071320 
rund-3237399d               21556    21591    57748  6136860 
rund-ab06627e               21556    21591    57824  5999656 
rund-59098c41               21560    21594    57408  5999628 
rund-4ae5eed8               21564    21598    57608  6005784 
rund-5bb1fff3               21564    21598    57536  6136856 
rund-2ca60dc3               21564    21599    57984  5864424 
rund-035410dc               21568    21602    57660  6136884 
rund-ded57e11               21576    21610    57352  6202392 
rund-4fb3372a               21580    21614    57724  5999632 
rund-572eca06               21580    21614    57640  5999632 
rund-5fa79e8d               21580    21614    57632  6071328 
rund-6fa2c8ff               21580    21614    57640  5999624 
rund-4b3c60bb               21580    21615    57912  6136860 
rund-4f4c2331               21584    21618    57508  5999628 
rund-8b86e991               21584    21618    57784  6202396 
rund-b810dea6               21584    21618    57584  5999632 
rund-3f184ff4               21588    21622    57804  5864428 
rund-bdd90a63               21588    21622    57712  5864456 
rund-c992a12c               21588    21622    57352  6202400 
rund-8e4e2c93               21588    21623    57984  6071320 
rund-c57e9017               21588    21623    58052  5999656 
rund-0182d246               21592    21626    57604  6069296 
rund-434e6cbd               21592    21626    57460  5864428 
rund-635130ab               21592    21626    57696  6136856 
rund-fd0d3118               21592    21626    57668  6071316 
rund-5fde3bc0               21596    21630    57724  5864428 
rund-d2f93d5b               21596    21630    57828  5999628 
rund-d4d32440               21596    21631    57892  6136884 
rund-b76313c9               21600    21634    57544  6202392 
rund-e2f14f81               21600    21634    57488  5999628 
rund-c8fc978e               21600    21635    58024  5864436 
rund-36dfe294               21604    21639    58116  5999628 
rund-0ef97339               21608    21643    57884  6136856 
rund-1b31e31a               21608    21643    57968  6071320 
rund-d6093156               21612    21646    57884  5999628 
rund-8f092226               21612    21647    57876  6071324 
rund-39cd5da1               21616    21650    57512  6202392 
rund-e2811a94               21608    21652    57632  6071320 
rund-04012d9a               21620    21654    57660  6136856 
rund-28b96436               21620    21654    57776  5999624 
rund-74a14c6b               21620    21654    57660  5999632 
rund-4fdf7efc               21624    21658    57644  5864432 
rund-476c3db5               21628    21662    57924  6071316 
rund-6aeb7404               21628    21662    57424  6136864 
rund-b30433f5               21628    21662    58064  5999628 
rund-fd1ae558               21628    21662    57792  5864428 
rund-9388fc5b               21632    21666    57624  5999624 
