Name                          USS      PSS      RSS      VSS 
rund-44b0d3f7               20912    20946    56828  2853896 
rund-a4fa2f67               20932    20966    57148  2923540 
rund-0904337a               20940    20974    56940  2925592 
rund-99748838               20960    20994    56720  2718700 
rund-e50cd355               20960    20994    56808  2718700 
rund-57942887               20972    21006    56976  2923548 
rund-87db894d               20976    21010    56952  2853928 
rund-288b88c8               20984    21018    57240  2853904 
rund-3f012589               20988    21022    56976  2853904 
rund-38790441               20992    21026    56968  2718700 
rund-02987507               20996    21030    56816  2718700 
rund-d2fbe36a               21004    21038    56784  2718700 
rund-47c89002               21008    21042    57228  2853904 
rund-723a0719               21012    21046    57060  2923540 
rund-f6dc8637               21012    21046    56952  2718704 
rund-bd0b97ac               21020    21054    57064  2853932 
rund-7597041e               21024    21058    56824  2853904 
rund-27f99be0               21028    21062    57264  2853904 
rund-581de19f               21028    21062    56820  2718732 
rund-2b197d35               21036    21070    57016  2718696 
rund-d97f2bc6               21036    21070    57132  2718732 
rund-1fae6d67               21044    21078    57012  2853904 
rund-a2a1181f               21048    21082    57008  2925596 
rund-e5a468d6               21048    21082    57412  2718732 
rund-c5468f03               21052    21086    56868  2718708 
rund-0c432cdf               21056    21090    57000  2853904 
rund-6e103073               21076    21110    56920  2925596 
rund-8f83b9c0               21076    21110    56856  2925596 
rund-6c729506               21084    21118    56984  2718732 
rund-ea5c6143               21104    21138    57212  2853908 
rund-0e9f2162               21108    21142    56948  2718700 
rund-7c7c1a12               21108    21142    56944  2718732 
rund-176d4230               21120    21154    57064  2718696 
rund-5e2363f1               21120    21154    56952  2853904 
rund-b01bd41a               21188    21222    57336  2853900 
rund-c7beba55               21188    21222    57104  2718728 
rund-473b751e               21212    21247    57512  2718704 
rund-5cd759c0               21224    21258    57028  2853904 
rund-7be56f86               21288    21322    57152  2718708 
rund-37a0df75               21300    21334    57188  2718700 
rund-78adbb22               21312    21346    57264  2853900 
rund-5317063f               21336    21370    57620  2853928 
rund-26c9910e               21348    21382    57220  2925592 
rund-78cd6a8e               21348    21384    57576  2718700 
rund-77cacf02               21352    21386    57292  2853900 
rund-64990908               21356    21390    57392  2853900 
rund-14cd32db               21368    21402    57180  2718696 
rund-b887a169               21372    21407    57596  2853900 
rund-57ef1547               21376    21410    57380  2853904 
rund-c5d7d454               21376    21410    57164  2853896 
rund-0457cc26               21388    21422    57288  2925588 
rund-60af0ce8               21388    21422    57236  2853900 
rund-285efb94               21392    21426    57464  2991128 
rund-428d709b               21392    21426    57316  2925596 
rund-58582ef1               21392    21426    57192  2853896 
rund-774cc443               21392    21426    57228  2853900 
rund-50146669               21396    21430    57204  2853904 
rund-5535367c               21396    21430    57840  2925592 
rund-78625231               21396    21430    57248  2718700 
rund-90924709               21396    21430    57324  2853900 
rund-9126cee2               21396    21430    57488  2853896 
rund-ad7b9e28               21396    21430    57408  2853900 
rund-d0bdd645               21396    21430    57540  2853900 
rund-3e6ece8a               21396    21431    57664  2853896 
rund-52b99c80               21404    21438    57496  2923540 
rund-614f8c30               21404    21438    57496  2860056 
rund-0f561dd1               21408    21442    57508  2925588 
rund-5d8252b5               21408    21442    57396  2853900 
rund-7dc4dec3               21408    21442    57312  2853896 
rund-10c780d7               21412    21446    57700  2853900 
rund-d7bd1b4f               21412    21446    57480  2853904 
rund-e56aa53f               21416    21450    57784  2853896 
rund-f0013d7e               21416    21450    57692  2991124 
rund-a1538132               21420    21454    57456  2853904 
rund-0a7817c6               21424    21458    57320  2925588 
rund-99ac228a               21424    21458    57416  2991132 
rund-30563682               21428    21462    57552  2991128 
rund-ef36a3a5               21428    21462    57416  2853904 
rund-ff975954               21428    21462    57656  2853904 
rund-7f08d673               21428    21463    57696  2853896 
rund-3cd03b9f               21432    21466    57176  2718708 
rund-a619e8f4               21432    21466    57144  2853896 
rund-ee399e13               21432    21466    57152  2853896 
rund-3cfc9ee2               21436    21470    57564  2853896 
rund-2f5e0984               21440    21474    57168  3056660 
rund-c979f1f0               21440    21474    57364  2925596 
rund-e6c04015               21440    21474    57452  2925596 
rund-f54e45f5               21440    21474    57376  2923540 
rund-32d27d55               21444    21478    57540  2925592 
rund-71ab8e96               21444    21478    57436  2718700 
rund-d896d1a1               21444    21478    57752  2853900 
rund-1596db92               21448    21482    57328  2853932 
rund-29f50982               21448    21482    57648  3056664 
rund-5e0ddeca               21448    21482    57540  2925592 
rund-5fa72b18               21448    21482    57536  2991128 
rund-b24e5434               21448    21482    57360  2853908 
rund-f1d76678               21448    21482    57436  2853928 
rund-bb12f185               21456    21490    57832  2718696 
rund-24176b05               21460    21494    57648  2991124 
rund-459fa9b2               21464    21498    57508  2925596 
rund-f3353b6e               21468    21502    57280  2853896 
rund-4b9fe2a8               21476    21510    57568  2991124 
rund-c51e3aed               21476    21510    57428  2853900 
rund-459a6db9               21480    21514    57628  2718708 
rund-7e83f220               21480    21514    57432  2925596 
rund-e6ead585               21480    21514    57744  2853908 
rund-154f33b7               21488    21522    57780  2853928 
rund-a19a72d9               21488    21522    57672  2853900 
rund-a7e41800               21488    21522    57448  2853896 
rund-b6c6d6d6               21488    21522    57380  2923540 
