runtime,1,10,20,50,100,200,300,400
kata,524.94,813.66,1084.44,1985.06,3602.64,6854.94,10582.18,15749.34
katatemplate,310.84,368.88,422.74,554.44,945.54,2039.3,2983.04,4073.68
rund,84.22,124.88,162.34,264.66,475.22,1084.72,1582.82,2441.62
katafc,310.68,1264.68,2552.56,6331.42,12780.3,27205.4,47576.94,86255.28
