memory,1,10,100,500,1000,2000
128,128254.0,104703.3,103054.3,102667.388,102766.186,103038.0695
256,126858.0,105494.0,103331.01,103063.328,103181.174,103401.2515
512,129203.0,105699.7,103641.84,103408.462,103451.253,103706.943
1024,127659.0,106382.1,104018.63,103914.746,103989.252,104256.579
2048,128315.0,106963.3,104779.74,104531.16,104672.991,105326.4575
4096,129868.0,109044.4,106769.61,106388.4,106507.446,106718.6885
