density,1,10,100,200,300,400
100,353.4,1450.05,15981.55,36568.05,65798.25,
200,404.45,1761.15,16554.3,38428.55,86415.3,
500,622.9,3651.05,38837.2,91080.5,165807.05,
1000,1391.05,10869.8,114211.4,248484.45,403701.75,
1500,2510.65,21511.55,224171.25,,,
2000,3941.55,35510.35,369388.9,,,
