Name                          USS      PSS      RSS      VSS 
rund-f9ba0b72               11160    16047    59400  2080972 
rund-873bd56c               13124    17857    61224  2080936 
rund-8db04b83               13376    18142    61580  1945772 
rund-c6d6bc54               13596    18428    62084  2080936 
rund-b0306e82               13792    18553    62168  2080952 
rund-bb4b18ef               15060    19758    63036  1945740 
rund-d34c3d01               15292    20113    63556  1945736 
rund-63b95663               15588    20343    63828  1945736 
rund-a8a8115e               17280    22181    65612  2080936 
rund-9ef8e94c               17672    22425    65904  1945736 
