Name                          USS      PSS      RSS      VSS 
rund-aa792864               11016    11061    59416  2212012 
rund-9459dae2               11068    11116    59872  2212012 
rund-57b4efa9               11072    11117    59676  2076812 
rund-27872b45               11080    11126    59712  2212012 
rund-e62f0754               11088    11134    59736  2076812 
rund-1700c293               11100    11146    59620  2212012 
rund-6ad8cc6b               11116    11163    59788  2076812 
rund-b4381be6               11116    11163    59664  2076812 
rund-d33fda85               11116    11163    59820  2212012 
rund-6edb5f68               11128    11174    59648  2212012 
rund-755fd370               11128    11175    59588  2076812 
rund-9a7933fc               11140    11187    59636  2076812 
rund-2c322b3a               11148    11195    59668  2212012 
rund-9dd43da1               11156    11202    59740  2076812 
rund-bb29bb3a               11156    11203    59912  2076812 
rund-2460474d               11176    11222    59776  2212012 
rund-8cfde3f3               11216    11262    59788  2076812 
rund-2e4f935e               11260    11306    59812  2076812 
rund-6ee1ccf6               11272    11317    59616  2076812 
rund-a1f45e5e               11352    11397    59956  2212012 
rund-5b5a7733               11360    11407    59996  2212012 
rund-af467e16               11372    11418    60076  2076812 
rund-4033889f               11372    11419    60064  2076812 
rund-5df1594b               11504    11550    59992  2076812 
rund-dad785c8               11524    11570    60088  2076812 
rund-fac94534               11536    11583    59900  2076812 
rund-61e86797               11544    11591    60304  2076812 
rund-08741200               11548    11594    60028  2212012 
rund-62fdfea2               11552    11598    60196  2076812 
rund-bc7fd2d3               11572    11619    60132  2212012 
rund-d3d8f5a9               11580    11625    60168  2076812 
rund-4c196575               11584    11630    60020  2076812 
rund-5abbe168               11612    11658    60056  2076812 
rund-ff17d1d9               11684    11731    60524  2076812 
rund-e351d982               11876    11922    60252  2212012 
rund-3b21a769               12432    12479    61132  2212012 
rund-22d6b91c               12580    12626    61072  2212012 
rund-e992a9c6               12608    12656    61528  2212012 
rund-ad76189a               12952    12998    61320  2212012 
rund-574ad108               13004    13051    61780  2076812 
rund-86777124               13012    13059    61636  2212012 
rund-a358aa0b               13024    13069    61352  2076812 
rund-30f861ce               13032    13080    61540  2212012 
rund-35db0870               13040    13087    61768  2076812 
rund-5e3e0cb9               13040    13087    61700  2076812 
rund-d2e50622               13040    13088    61648  2212012 
rund-043bc86f               13048    13095    61900  2212012 
rund-7d8e52ec               13056    13104    61796  2076812 
rund-acf7b971               13068    13115    61796  2076812 
rund-3ef3fed2               13076    13122    61896  2212012 
rund-79a82083               13076    13122    61752  2212012 
rund-26a01a40               13080    13128    61888  2212012 
rund-723be641               13084    13132    61792  2076812 
rund-ef7348fc               13088    13133    61452  2212012 
rund-8a0023f1               13088    13135    61628  2076812 
rund-ecf11b0a               13092    13138    61668  2076812 
rund-8e0f6538               13096    13142    61288  2076812 
rund-4b5013d7               13100    13146    61472  2076808 
rund-93b08623               13104    13150    61508  2212012 
rund-a367dc2f               13104    13150    61820  2076812 
rund-0f791717               13112    13158    61980  2076812 
rund-3e532a1f               13112    13158    61652  2076812 
rund-d4396836               13112    13158    61452  2076812 
rund-ba9ae2ce               13112    13159    61768  2212012 
rund-15102ffa               13116    13161    61636  2212012 
rund-056c01fc               13116    13163    61944  2212012 
rund-56405b59               13120    13166    61592  2076812 
rund-57464b7c               13120    13166    61868  2076812 
rund-c866d375               13120    13166    61756  2212012 
rund-d3a9011a               13120    13166    61760  2212012 
rund-e30be9c5               13120    13166    61704  2212012 
rund-c6206ad9               13120    13168    61852  2076812 
rund-97c5e3e3               13124    13170    61804  2212012 
rund-cc4fdfef               13124    13170    61832  2212012 
rund-befd9cdf               13124    13172    61796  2212012 
rund-569e110f               13128    13175    61792  2212012 
rund-7bb5c7f7               13132    13177    61700  2212012 
rund-1c4d7456               13136    13182    61576  2212012 
rund-4d945d32               13136    13183    61748  2076812 
rund-4ea6a8e3               13136    13183    61748  2076812 
rund-b178ded9               13140    13185    61744  2076812 
rund-3c8b6929               13140    13186    61480  2076812 
rund-e3437e13               13140    13187    61952  2076812 
rund-33d11dc7               13144    13190    61744  2212012 
rund-41152041               13144    13190    61608  2076812 
rund-7df6bbcf               13144    13190    61788  2212012 
rund-a8cad89e               13148    13193    61488  2076812 
rund-1afe8505               13148    13196    61808  2212012 
rund-ca21e12d               13148    13196    61860  2212012 
rund-d1d719cd               13148    13196    61768  2212012 
rund-ff4b2b32               13148    13196    61872  2212012 
rund-349ab972               13152    13198    61688  2212012 
rund-3f11d02c               13152    13198    61816  2076812 
rund-3e8438dc               13152    13200    61592  2076808 
rund-6072de6e               13156    13201    61648  2212012 
rund-98371312               13156    13202    61888  2076812 
rund-beffec72               13156    13203    62004  2076812 
rund-3f22df7f               13160    13207    61792  2212012 
rund-c7602462               13160    13207    61860  2212012 
rund-437345ab               13168    13214    61916  2212012 
rund-7e9507a2               13172    13218    61700  2212012 
rund-08089b56               13172    13219    61736  2212012 
rund-d975e8c8               13172    13220    61804  2076812 
rund-3f6d919d               13180    13226    61884  2076812 
rund-a1a26f13               13180    13227    61812  2212012 
rund-48e3108d               13184    13229    61716  2212012 
rund-179efc24               13184    13231    61708  2076812 
rund-b31ab733               13184    13232    61964  2212012 
rund-6e632749               13188    13234    61780  2076812 
rund-78675b89               13184    13234    62084  2212012 
rund-1304e0e1               13188    13235    61844  2212012 
rund-04d398c2               13192    13238    61796  2076812 
rund-57d050d0               13196    13242    61756  2212012 
rund-b0126f01               13196    13243    61788  2212012 
rund-b5dec37b               13204    13251    61864  2076812 
rund-bbdf8ad4               13204    13252    62004  2076812 
rund-a5c8f82a               13208    13254    61836  2076812 
rund-37cfafab               13212    13259    61864  2076812 
rund-38375ed1               13216    13262    61692  2212012 
rund-1f6fb695               13224    13269    61532  2076812 
rund-f4b3cc8d               13224    13272    61980  2076812 
rund-e3848cf5               13228    13274    61900  2212012 
rund-2f1e7643               13232    13279    61904  2076812 
rund-987f3085               13240    13285    61852  2076812 
rund-783c6b41               13240    13287    61968  2076812 
rund-0701c532               13248    13295    61604  2076812 
rund-6c38ee02               13248    13295    61936  2212012 
rund-f9151bb0               13268    13313    61684  2076812 
rund-3f888b6e               13276    13321    61796  2076812 
rund-e408ed6d               13276    13322    61764  2076812 
rund-ad892697               13276    13323    61948  2212012 
rund-11e736e1               13280    13326    62048  2212012 
rund-97a18701               13284    13331    61980  2076812 
rund-7fb9d0a6               13288    13333    61764  2076812 
rund-d35773ce               13288    13333    61684  2076812 
rund-9517697c               13292    13338    61660  2212012 
rund-ce073d52               13292    13339    61816  2076812 
rund-abbd4eca               13300    13347    62084  2076812 
rund-c3fc0fbe               13300    13347    62012  2212012 
rund-102bb1bc               13308    13353    61760  2076812 
rund-39539fca               13308    13356    62012  2212012 
rund-9de31d78               13312    13357    61692  2212012 
rund-48186749               13312    13359    61988  2212012 
rund-a1222025               13316    13363    62056  2076812 
rund-bf77710a               13324    13371    62056  2076812 
rund-3767c3d2               13328    13375    62100  2212012 
rund-81909cbe               13348    13394    62040  2076812 
rund-ddb5958d               13348    13395    62036  2076812 
rund-099c70ad               13356    13402    61720  2212012 
rund-b40ee2d2               13356    13402    62036  2076812 
rund-115746e9               13360    13407    62104  2076812 
rund-ae06412a               13368    13414    61892  2076812 
rund-bbdcf7d9               13368    13414    61940  2076812 
