Name                          USS      PSS      RSS      VSS 
rund-3a491131               11316    11813    60320  2338956 
rund-9a89fc22               11704    12203    60644  2474156 
rund-e9ea6397               11712    12215    61000  2474156 
rund-b43175df               11880    12386    61196  2338956 
rund-ea06df1f               13196    13698    62388  2474156 
rund-05068b7d               13252    13743    62236  2338988 
rund-3b2f2469               13268    13762    62280  2474156 
rund-40068970               13324    13818    62344  2474156 
rund-2f7598f9               13340    13838    62328  2474156 
rund-e510a2e2               13348    13849    62596  2474156 
rund-5d84a900               13352    13851    62476  2338956 
rund-d85f193e               13376    13875    62632  2338956 
rund-72a19e62               13408    13906    62508  2338956 
rund-60c26b9c               13468    13979    62880  2338956 
rund-dc0650ad               13584    14083    62828  2338956 
rund-1f84fe2a               13616    14125    62812  2338956 
rund-d3c1ca90               13632    14134    62868  2474188 
rund-cf0fd934               13636    14141    62964  2474156 
rund-34c62195               13680    14181    62880  2474156 
rund-eac0a07b               13764    14252    62628  2474156 
rund-cfe7651d               13764    14260    62852  2338952 
rund-ce019420               13792    14290    62936  2338956 
rund-d022c5a1               13840    14328    62648  2474156 
rund-2715148a               13876    14384    63212  2338956 
rund-a5da8b0c               14468    14961    63496  2474156 
rund-8ff1ec8b               15356    15855    64436  2338956 
rund-b1124c85               15388    15890    64528  2474156 
rund-d2899fbe               15420    15912    64268  2474156 
rund-007c344e               15436    15926    64204  2338952 
rund-d0308477               15436    15936    64568  2474156 
rund-1b318d6a               15452    15941    64364  2338952 
rund-3bb740f3               15448    15944    64604  2338956 
rund-67a194f4               15444    15945    64616  2338956 
rund-f8d3bef3               15456    15957    64728  2474156 
rund-8e221ec0               15484    15974    64436  2338956 
rund-df330dec               15504    15995    64560  2338956 
rund-70b0b663               15548    16053    64832  2338956 
rund-4b7acc66               15568    16068    64684  2474156 
rund-4c3cd712               15628    16133    64924  2474156 
rund-4cfd2164               15644    16139    64700  2338956 
rund-eb2496a0               15684    16172    64528  2338956 
rund-cc4ac321               15688    16177    64476  2338988 
rund-0d58644d               15676    16178    64980  2338956 
rund-81846c1d               15680    16194    65028  2338956 
rund-8bcf739e               15716    16213    64624  2338956 
rund-ead6616a               15724    16225    64932  2474156 
rund-6ca87e24               15748    16249    64972  2338956 
rund-a08a5c32               15784    16272    64512  2474156 
rund-be27d332               15792    16284    64840  2338956 
rund-dfd257ae               15780    16288    65180  2474156 
rund-d1c8b516               15800    16297    64800  2474156 
rund-0ea26fc8               15804    16307    65140  2338956 
rund-65d49d85               15820    16318    65020  2474156 
rund-3b6a117b               15824    16323    64888  2338956 
rund-e1d34710               15824    16328    65112  2338956 
rund-acec8cac               15856    16354    64988  2338988 
rund-e3cc9830               15844    16359    65216  2338956 
rund-6807d3e1               15912    16405    65044  2338956 
rund-5f77f80d               16132    16635    65428  2474156 
rund-49fe9bb6               16424    16924    65724  2474156 
rund-12d76ba8               17108    17608    66264  2474156 
rund-18211b82               17260    17759    66412  2338956 
rund-6b07e0d3               17344    17839    66264  2474156 
rund-a6924741               17344    17850    66696  2338956 
rund-5abc4c1c               17360    17856    66304  2474156 
rund-8967777e               17368    17861    66360  2474156 
rund-9b534aea               17368    17875    66772  2338956 
rund-ba5dce65               17376    17875    66460  2338956 
rund-d05c8436               17388    17877    66264  2474156 
rund-a5ca6ca6               17392    17885    66340  2338956 
rund-03b9a936               17416    17910    66372  2474156 
rund-064e369a               17420    17923    66752  2474156 
rund-f08eeda2               17440    17941    66636  2474156 
rund-0862d78c               17468    17965    66404  2474152 
rund-1fd66d15               17464    17968    66640  2474156 
rund-6dd85685               17472    17971    66756  2474156 
rund-91cbe952               17512    18011    66644  2338956 
rund-44d31997               17540    18033    66376  2338956 
rund-c1d76e6d               17552    18052    66760  2474156 
rund-1817fe94               17560    18057    66576  2338956 
rund-5fbca7c3               17608    18105    66776  2474156 
rund-59945611               17608    18107    66652  2338956 
rund-84a449c2               17612    18111    66612  2474156 
rund-6b3cac0a               17632    18132    66760  2338988 
rund-5e1e2f16               17656    18143    66524  2338952 
rund-71c821c4               17744    18234    66700  2474156 
rund-b7a1e5e9               17796    18289    66700  2474156 
rund-16a48bf4               17864    18367    67180  2338956 
rund-c6fe085a               17912    18413    67200  2338956 
rund-183367a6               19396    19889    68408  2338956 
rund-44b85f14               19416    19909    68492  2338956 
rund-05fd3909               19416    19913    68536  2338956 
rund-0da20a91               19564    20051    68424  2474156 
rund-6648f756               19572    20070    68480  2474156 
rund-a26925ec               19592    20092    68812  2338956 
rund-27b479d0               19636    20138    68968  2338956 
rund-f81f4e5f               19736    20233    68696  2474152 
rund-4789ce91               19828    20325    68776  2338956 
rund-ae6a209b               19880    20375    68608  2338956 
rund-f3902864               21648    22152    71004  2474156 
