Name                          USS      PSS      RSS      VSS 
rund-aa792864               10984    11079    59416  2212012 
rund-57b4efa9               11040    11134    59676  2076812 
rund-27872b45               11048    11143    59712  2212012 
rund-9459dae2               11064    11161    59868  2212012 
rund-1700c293               11068    11164    59620  2212012 
rund-6ad8cc6b               11084    11180    59788  2076812 
rund-d33fda85               11084    11180    59820  2212012 
rund-755fd370               11092    11187    59584  2076812 
rund-9dd43da1               11124    11220    59740  2076812 
rund-bb29bb3a               11124    11220    59912  2076812 
rund-8cfde3f3               11184    11279    59788  2076812 
rund-6ee1ccf6               11240    11335    59616  2076812 
rund-af467e16               11340    11434    60076  2076812 
rund-5df1594b               11472    11567    59992  2076812 
rund-fac94534               11504    11600    59884  2076812 
rund-08741200               11516    11611    60028  2212012 
rund-4c196575               11548    11642    60016  2076812 
rund-e351d982               11844    11939    60252  2212012 
rund-22d6b91c               12548    12643    61072  2212012 
rund-a358aa0b               12992    13086    61352  2076812 
rund-35db0870               13004    13100    61764  2076812 
rund-d2e50622               13008    13105    61648  2212012 
rund-043bc86f               13016    13113    61900  2212012 
rund-7d8e52ec               13024    13121    61792  2076812 
rund-30f861ce               13028    13123    61536  2212012 
rund-26a01a40               13048    13145    61888  2212012 
rund-ef7348fc               13052    13145    61448  2212012 
rund-723be641               13052    13150    61792  2076812 
rund-8a0023f1               13056    13152    61628  2076812 
rund-8e0f6538               13064    13158    61244  2076812 
rund-93b08623               13068    13162    61504  2212012 
rund-4b5013d7               13068    13163    61472  2076808 
rund-0f791717               13080    13175    61980  2076812 
rund-c866d375               13084    13179    61752  2212012 
rund-e30be9c5               13088    13183    61704  2212012 
rund-c6206ad9               13088    13185    61852  2076812 
rund-befd9cdf               13088    13186    61792  2212012 
rund-569e110f               13092    13189    61788  2212012 
rund-3c8b6929               13108    13202    61468  2076812 
rund-33d11dc7               13108    13204    61740  2212012 
rund-7df6bbcf               13108    13204    61784  2212012 
rund-3f11d02c               13116    13212    61812  2076812 
rund-ca21e12d               13116    13213    61860  2212012 
rund-98371312               13120    13215    61884  2076812 
rund-3e8438dc               13120    13217    61592  2076808 
rund-3f22df7f               13124    13221    61788  2212012 
rund-beffec72               13124    13222    62004  2076812 
rund-d975e8c8               13136    13234    61800  2076812 
rund-48e3108d               13152    13246    61716  2212012 
rund-179efc24               13152    13248    61708  2076812 
rund-1304e0e1               13156    13252    61844  2212012 
rund-6e632749               13160    13255    61780  2076812 
rund-57d050d0               13164    13258    61756  2212012 
rund-a5c8f82a               13176    13270    61836  2076812 
rund-37cfafab               13180    13275    61864  2076812 
rund-38375ed1               13180    13275    61688  2212012 
rund-1f6fb695               13192    13285    61532  2076812 
rund-e3848cf5               13192    13287    61896  2212012 
rund-2f1e7643               13200    13296    61896  2076812 
rund-987f3085               13204    13298    61848  2076812 
rund-6c38ee02               13212    13308    61932  2212012 
rund-97a18701               13248    13344    61976  2076812 
rund-d35773ce               13256    13350    61684  2076812 
rund-ce073d52               13260    13357    61816  2076812 
rund-c3fc0fbe               13268    13364    62012  2212012 
rund-9de31d78               13276    13370    61688  2212012 
rund-a1222025               13284    13379    62056  2076812 
rund-39539fca               13304    13399    62008  2212012 
rund-ddb5958d               13316    13412    62036  2076812 
rund-099c70ad               13324    13419    61712  2212012 
rund-a34d42fe               13348    13444    61952  2076812 
rund-3ae0990e               13352    13453    62080  2076812 
rund-2a0184c9               13360    13454    61560  2212012 
rund-d453cf05               13368    13463    62032  2076812 
rund-47d6d48e               13372    13467    61800  2212012 
rund-58cca769               13392    13489    62060  2212012 
rund-654a1de1               13408    13503    61772  2076812 
rund-46c602bd               13416    13511    62128  2212012 
rund-0a42289a               13424    13519    62052  2076812 
rund-423358c8               13436    13530    61888  2076812 
rund-624ed991               13436    13533    62084  2076812 
rund-50accc85               13440    13536    62076  2076812 
rund-e86bf758               13448    13544    62248  2212012 
rund-39c571b2               13448    13546    62128  2212012 
rund-32d97f74               13452    13549    62268  2076812 
rund-df6a57e3               13456    13553    62048  2212012 
rund-690ac2f5               13468    13562    61912  2212012 
rund-def21219               13480    13574    62000  2212012 
rund-08d0de24               13484    13580    62064  2212012 
rund-1c99536b               13520    13613    61972  2076812 
rund-ff3927b5               13520    13617    62308  2076812 
rund-cf259071               13524    13618    62020  2212012 
rund-01d8c1cd               13524    13620    62184  2212012 
rund-97d4a76b               13524    13620    62296  2076812 
rund-915747c4               13528    13625    62384  2212012 
rund-2426d5d3               13532    13629    61956  2076812 
rund-8dc94dcb               13536    13633    62232  2212012 
rund-909e5933               13544    13638    62236  2212012 
rund-b4592a61               13548    13645    62344  2212012 
rund-e5299e6e               13548    13645    62316  2212012 
rund-4341b2af               13552    13647    62176  2212012 
rund-5346ff13               13568    13662    62328  2212012 
rund-05f6bde8               13568    13665    62400  2076812 
rund-ab882257               13568    13665    62372  2212012 
rund-53e33fce               13596    13690    62224  2076812 
rund-12737804               13596    13691    62388  2212012 
rund-b0eaf68b               13596    13691    62332  2076808 
rund-90696c5d               13616    13710    62164  2212012 
rund-e4bbb41e               13624    13719    62476  2076812 
rund-5cbbd1cb               13628    13724    62400  2212012 
rund-8061101e               13632    13727    62364  2076812 
rund-b00e1bdc               13640    13734    62284  2076812 
rund-507056bd               13640    13736    62388  2212012 
rund-04b4f35e               13652    13747    62312  2212012 
rund-5f4bbc65               13660    13755    62348  2076812 
rund-1058958d               13668    13762    62192  2212012 
rund-da3c3d32               13704    13801    62524  2076812 
rund-55fdcb08               14008    14102    62636  2212012 
rund-34ea0ddc               14068    14375    62372  2212012 
rund-4d001a5f               14412    14508    63172  2212012 
rund-401cb349               14228    14535    61780  2212012 
rund-d146138c               14596    14691    63196  2212012 
rund-8e17ded5               14596    14693    63432  2212012 
rund-f914d785               14780    14874    63152  2212012 
rund-f58e7759               14860    14955    63428  2212012 
rund-4b45665d               14976    15070    63468  2076812 
rund-9447e048               15004    15100    63664  2212012 
rund-1caff977               15012    15107    63692  2212012 
rund-243c96a7               15032    15129    63804  2076812 
rund-78a50d82               15040    15134    63448  2212012 
rund-4354f840               15040    15137    63696  2212012 
rund-cac3b424               15044    15140    63472  2076812 
rund-28254aa9               15048    15143    63540  2212012 
rund-35f47ce8               15052    15147    63832  2076812 
rund-978688b6               15068    15163    63940  2212012 
rund-f753edec               15072    15168    63716  2212012 
rund-b52e082b               15076    15170    63552  2076812 
rund-3f791078               15080    15176    63848  2212012 
rund-a1166d80               15080    15176    63900  2076812 
rund-32e88bc5               15092    15188    63860  2076812 
rund-6fcd4f0f               15092    15188    63900  2076812 
rund-f71ce4dc               15092    15189    63592  2076812 
rund-71076341               15096    15191    63840  2212012 
rund-a684bf4f               15096    15192    63856  2076812 
rund-8c2f80c4               15100    15195    63732  2076812 
rund-db535ddb               15112    15206    63684  2212012 
rund-14197e0d               15112    15209    63920  2212012 
rund-573a613c               15112    15209    63856  2076812 
rund-5ebb3876               15116    15211    63412  2212012 
rund-2f19d0d2               15120    15216    63980  2076812 
rund-65701cc4               15124    15218    63672  2076812 
rund-d8c169ed               15124    15218    63716  2212012 
rund-d9bf498b               15124    15219    63500  2076812 
rund-60889dcb               15128    15225    63828  2212012 
rund-8b3fbb86               15132    15227    63604  2076812 
rund-d97cd506               15136    15231    63700  2212012 
rund-3c999f59               15136    15232    63832  2076812 
rund-919fa58e               15136    15233    63860  2212012 
rund-9914256e               15140    15234    63636  2076812 
rund-ecc18b9a               15140    15236    63848  2076812 
rund-a74ac732               15140    15241    63988  2076812 
rund-99962d7e               15148    15243    63852  2212012 
rund-9acced79               15148    15245    63792  2212012 
rund-c6ba2d17               15152    15247    63772  2076812 
rund-f2e0fc23               15152    15249    63936  2212012 
rund-781e6aae               15152    15251    64056  2212012 
rund-4d273450               15160    15255    63728  2212012 
rund-02fec293               15160    15256    63776  2076812 
rund-d77d54da               15164    15260    63908  2076812 
rund-0eb7f509               15168    15262    63768  2076812 
rund-26a7e276               15168    15262    63608  2076812 
rund-0cf7c055               15168    15263    63568  2076812 
rund-842ade4e               15168    15263    63852  2076812 
rund-1b6f263a               15168    15264    63872  2212012 
rund-44ae4b93               15168    15265    63900  2212012 
rund-e7fc0e5a               15168    15265    63920  2076812 
rund-71f6213f               15172    15269    63860  2212012 
rund-275ba584               15172    15270    64112  2212012 
rund-c4a9d9d6               15176    15270    63804  2076812 
rund-d565d080               15184    15278    63880  2076812 
rund-a2a58383               15188    15282    63760  2212012 
rund-0fbd087a               15192    15286    63800  2076812 
rund-aa39803d               15192    15286    63876  2076812 
rund-e6acc283               15192    15287    63952  2076812 
rund-b59cd996               15200    15296    63528  2076812 
rund-cc6361e8               15204    15299    63772  2076812 
rund-761beaf8               15204    15300    63896  2076812 
rund-0cc7d96a               15208    15302    64048  2076812 
rund-1103ceda               15216    15310    63924  2076812 
rund-d1693e9a               15220    15314    63904  2076812 
rund-d6dd3a01               15220    15318    64028  2212012 
rund-83b2ef58               15228    15323    63972  2212012 
rund-f05349fc               15232    15328    63964  2212012 
rund-e3deaf07               15236    15330    63960  2076812 
rund-6b5ebd27               15236    15332    63948  2076808 
rund-1e89a040               15240    15334    63884  2076812 
rund-760e527f               15240    15335    63896  2212008 
rund-d271e471               15252    15348    63956  2212012 
rund-5b351b55               15252    15349    63956  2212012 
rund-2fefce10               15256    15353    63896  2076812 
rund-af92b43d               15260    15357    63920  2076812 
rund-11cc6f93               15264    15360    64140  2076812 
rund-6c03e217               15268    15366    64148  2076812 
rund-7e166a67               15268    15366    63996  2076812 
rund-1e728194               15272    15369    63976  2212012 
rund-53e03559               15280    15374    63844  2212012 
rund-ba66ddb4               15280    15376    63844  2212012 
rund-47369283               15280    15377    63996  2076812 
rund-5b691b0c               15296    15389    63728  2212012 
rund-0c8b992c               15300    15396    64060  2212012 
rund-fcf6f0b8               15312    15408    64188  2212012 
rund-6217d504               15328    15423    63872  2076812 
rund-89b56ad2               15328    15424    63956  2076812 
rund-fc9e5307               15328    15424    63916  2076812 
rund-55aaf584               15336    15432    64152  2076812 
rund-7884ff85               15336    15432    64212  2076812 
rund-1843f10c               15340    15436    63928  2076812 
rund-3312ce41               15352    15448    64100  2076812 
rund-c87dd488               15360    15455    63980  2212012 
rund-6a740c3b               15376    15469    63908  2076812 
rund-1c716368               15376    15472    64048  2212012 
rund-e4cb79a7               15388    15484    64084  2076812 
rund-fae33294               15396    15491    64068  2076812 
rund-98c4481f               15396    15495    64184  2076812 
rund-54175bed               15404    15497    63748  2212012 
rund-60ec6b01               15400    15497    63944  2212012 
rund-6f0755f6               15408    15504    64228  2076812 
rund-215766ca               15416    15512    64120  2076812 
rund-c69edf0f               15416    15514    64080  2212012 
rund-d085efbf               15424    15519    63776  2076812 
rund-c6090484               15428    15524    63972  2212012 
rund-1b622035               15432    15527    64120  2076812 
rund-60ace91b               15436    15531    64044  2076812 
rund-63c2b23f               15440    15539    64156  2076808 
rund-2fa218d7               15452    15546    64116  2212012 
rund-005d95e0               15452    15548    64352  2212012 
rund-288dfbce               15452    15549    64204  2212012 
rund-5e563899               15460    15554    64064  2076812 
rund-ed9ab565               15460    15555    63876  2212012 
rund-d5f58437               15464    15558    64052  2076812 
rund-8cbd5125               15464    15561    64100  2212012 
rund-9a3f53b3               15468    15561    64100  2212012 
rund-2872b750               15476    15571    63728  2076812 
rund-f61f3b71               15476    15572    64300  2076812 
rund-88a33478               15480    15575    64160  2076812 
rund-59e03530               15480    15577    64244  2076812 
rund-75d20898               15484    15579    64052  2076812 
rund-307ed565               15492    15587    64008  2212012 
rund-8b547d6b               15504    15598    64036  2076812 
rund-943c9e2d               15504    15601    64320  2076812 
rund-828c3715               15512    15606    64040  2076812 
rund-e2adaa47               15516    15611    64064  2076812 
rund-fa3d8d05               15520    15616    64072  2076812 
rund-ca02bee3               15524    15619    63908  2076812 
rund-b503ef62               15532    15627    64092  2076812 
rund-6ffae113               15532    15628    64260  2076812 
rund-90e10a3f               15540    15635    64192  2076812 
rund-43947e5a               15548    15644    64292  2212012 
rund-03bad3b1               15552    15648    64348  2076812 
rund-ff4f3009               15556    15652    63872  2076812 
rund-172437bc               15560    15655    64128  2076812 
rund-9803b151               15560    15656    64044  2076812 
rund-150e2193               15564    15659    64060  2076812 
rund-9289dc8e               15564    15659    64128  2076812 
rund-f44560b8               15560    15659    64264  2212012 
rund-ca4e8e7e               15564    15660    64272  2076812 
rund-044a45ce               15568    15662    64036  2076812 
rund-2e6222cc               15568    15663    64180  2212012 
rund-75f2a30a               15572    15668    64144  2076812 
rund-e681d799               15572    15668    64156  2212012 
rund-f8a1a12d               15572    15668    64412  2212012 
rund-61e83b4b               15572    15669    64360  2212012 
rund-2a016b2d               15584    15682    64440  2212012 
rund-469c7a6a               15588    15683    63868  2076812 
rund-aced52c6               15588    15685    64276  2076812 
rund-7e77d561               15600    15693    64028  2076812 
rund-c7c23dfd               15604    15700    64028  2212012 
rund-8b513135               15608    15704    64384  2076812 
rund-71db7100               15608    15705    64324  2076812 
rund-cf7642ce               15616    15709    64204  2212012 
rund-05473c9c               15616    15711    64284  2076812 
rund-430098c9               15616    15711    64184  2212012 
