Name                          USS      PSS      RSS      VSS 
rund-099e4382               13892    18903    63828  2863240 
rund-7331a66e               14276    19266    64072  2998444 
rund-8bc4bea1               15684    20628    65484  2998440 
rund-f496bddd               15740    20721    65576  2998440 
rund-c2646ec7               17624    22599    67464  2863276 
rund-e8009674               17996    23025    67896  2863240 
rund-b377c5c7               19596    24592    69496  2863240 
rund-960b66b8               19748    24684    69344  2863240 
rund-db42b247               19704    24764    69624  2863240 
rund-5c77eb25               20168    25211    70216  2863240 
